,TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P1_TO_P7,P1_TO_P8,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P2_TO_P7,P2_TO_P8,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P3_TO_P7,P3_TO_P8,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P4_TO_P7,P4_TO_P8,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P5_TO_P7,P5_TO_P8,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6,P6_TO_P7,P6_TO_P8,P7_TO_LAPTOP,P7_TO_P1,P7_TO_P2,P7_TO_P3,P7_TO_P4,P7_TO_P5,P7_TO_P6,P7_TO_P7,P7_TO_P8,P8_TO_LAPTOP,P8_TO_P1,P8_TO_P2,P8_TO_P3,P8_TO_P4,P8_TO_P5,P8_TO_P6,P8_TO_P7,P8_TO_P8
751,751,0.02,0.0,0.06,0.29,0.38,0.11,0.07,0.01,0.06,0.04,0.04,0.0,0.04,0.27,0.24,0.16,0.14,0.07,0.02,0.0,0.02,0.0,0.4,0.15,0.3,0.06,0.05,0.0,0.05,0.01,0.05,0.0,0.06,0.71,0.02,0.08,0.05,0.34,0.09,0.09,0.22,0.0,0.12,0.05,0.04,0.03,0.45,0.04,0.05,0.2,0.07,0.0,0.06,0.09,0.03,0.08,0.03,0.09,0.2,0.13,0.39,0.0,0.05,0.0,0.02,0.02,0.02,0.23,0.49,0.14,0.09,0.0
752,752,0.08,0.0,0.05,0.12,0.11,0.1,0.17,0.24,0.14,0.01,0.04,0.0,0.02,0.18,0.62,0.04,0.05,0.04,0.02,0.04,0.02,0.0,0.55,0.16,0.03,0.06,0.13,0.01,0.05,0.01,0.07,0.0,0.06,0.69,0.03,0.08,0.38,0.15,0.04,0.08,0.16,0.0,0.11,0.05,0.02,0.03,0.07,0.19,0.06,0.44,0.08,0.0,0.07,0.07,0.09,0.13,0.05,0.11,0.18,0.2,0.18,0.0,0.07,0.0,0.03,0.01,0.03,0.19,0.37,0.19,0.18,0.0
753,753,0.0,0.0,0.1,0.31,0.02,0.03,0.3,0.0,0.24,0.01,0.04,0.0,0.02,0.2,0.59,0.05,0.05,0.04,0.28,0.03,0.02,0.0,0.38,0.09,0.02,0.04,0.13,0.01,0.05,0.01,0.06,0.0,0.08,0.67,0.02,0.09,0.42,0.1,0.05,0.09,0.17,0.0,0.09,0.06,0.02,0.03,0.14,0.17,0.06,0.31,0.1,0.0,0.09,0.1,0.06,0.16,0.07,0.1,0.24,0.24,0.04,0.0,0.08,0.0,0.04,0.0,0.06,0.16,0.24,0.33,0.18,0.0
754,754,0.0,0.0,0.07,0.34,0.03,0.03,0.19,0.13,0.2,0.01,0.03,0.0,0.04,0.21,0.55,0.04,0.06,0.05,0.01,0.05,0.06,0.0,0.14,0.05,0.03,0.04,0.61,0.01,0.04,0.01,0.04,0.0,0.04,0.67,0.01,0.18,0.44,0.17,0.03,0.07,0.13,0.0,0.07,0.05,0.03,0.01,0.21,0.04,0.32,0.2,0.08,0.0,0.06,0.08,0.38,0.13,0.04,0.05,0.16,0.16,0.02,0.0,0.07,0.0,0.04,0.0,0.07,0.1,0.11,0.26,0.41,0.0
755,755,0.01,0.0,0.04,0.07,0.11,0.1,0.11,0.28,0.28,0.02,0.04,0.0,0.05,0.28,0.43,0.05,0.1,0.03,0.02,0.04,0.05,0.0,0.28,0.09,0.03,0.11,0.38,0.02,0.04,0.01,0.05,0.0,0.11,0.68,0.02,0.08,0.53,0.14,0.02,0.07,0.14,0.0,0.06,0.04,0.01,0.01,0.01,0.03,0.58,0.12,0.15,0.0,0.04,0.07,0.06,0.17,0.0,0.06,0.15,0.53,0.01,0.0,0.02,0.0,0.04,0.0,0.06,0.13,0.13,0.35,0.29,0.0
756,756,0.03,0.0,0.07,0.09,0.1,0.13,0.36,0.06,0.15,0.03,0.04,0.0,0.05,0.24,0.39,0.06,0.13,0.05,0.01,0.04,0.04,0.0,0.14,0.09,0.03,0.25,0.4,0.02,0.06,0.02,0.07,0.0,0.17,0.51,0.03,0.11,0.08,0.44,0.09,0.07,0.15,0.0,0.08,0.06,0.04,0.02,0.42,0.03,0.05,0.24,0.08,0.0,0.06,0.09,0.01,0.11,0.01,0.04,0.08,0.23,0.48,0.0,0.03,0.05,0.03,0.01,0.05,0.15,0.28,0.23,0.2,0.0
757,757,0.03,0.0,0.04,0.06,0.06,0.05,0.64,0.05,0.08,0.01,0.04,0.0,0.02,0.18,0.27,0.17,0.28,0.04,0.02,0.01,0.01,0.0,0.31,0.08,0.14,0.35,0.07,0.04,0.08,0.03,0.13,0.0,0.31,0.18,0.09,0.14,0.21,0.17,0.07,0.09,0.18,0.0,0.16,0.08,0.04,0.01,0.67,0.0,0.01,0.17,0.05,0.0,0.03,0.06,0.07,0.09,0.03,0.05,0.1,0.1,0.51,0.0,0.04,0.0,0.03,0.01,0.05,0.18,0.18,0.37,0.19,0.0
758,758,0.04,0.0,0.06,0.13,0.11,0.16,0.29,0.08,0.13,0.02,0.04,0.0,0.02,0.21,0.43,0.05,0.19,0.03,0.16,0.01,0.01,0.0,0.59,0.13,0.02,0.04,0.05,0.02,0.04,0.01,0.08,0.0,0.63,0.05,0.07,0.09,0.25,0.27,0.05,0.08,0.16,0.0,0.08,0.06,0.04,0.02,0.36,0.03,0.05,0.21,0.19,0.0,0.06,0.07,0.01,0.15,0.02,0.05,0.1,0.35,0.29,0.0,0.03,0.0,0.03,0.01,0.03,0.18,0.34,0.29,0.11,0.0
759,759,0.03,0.0,0.04,0.06,0.08,0.12,0.58,0.02,0.07,0.04,0.06,0.0,0.03,0.27,0.35,0.12,0.08,0.06,0.21,0.02,0.01,0.0,0.46,0.09,0.06,0.04,0.09,0.04,0.1,0.04,0.16,0.0,0.31,0.13,0.1,0.13,0.03,0.62,0.08,0.05,0.09,0.0,0.08,0.03,0.02,0.02,0.06,0.03,0.46,0.23,0.08,0.0,0.04,0.08,0.01,0.1,0.01,0.04,0.08,0.1,0.64,0.0,0.03,0.0,0.03,0.02,0.03,0.23,0.45,0.14,0.1,0.0
760,760,0.04,0.0,0.05,0.09,0.1,0.22,0.44,0.01,0.06,0.02,0.04,0.0,0.02,0.22,0.38,0.05,0.23,0.04,0.03,0.01,0.01,0.0,0.53,0.2,0.13,0.03,0.06,0.01,0.03,0.01,0.04,0.0,0.78,0.06,0.04,0.03,0.22,0.34,0.06,0.07,0.14,0.0,0.1,0.04,0.02,0.04,0.27,0.04,0.05,0.25,0.16,0.0,0.09,0.1,0.01,0.08,0.0,0.03,0.08,0.13,0.64,0.0,0.03,0.0,0.03,0.02,0.02,0.2,0.5,0.14,0.1,0.0
761,761,0.03,0.0,0.04,0.04,0.09,0.17,0.55,0.01,0.07,0.02,0.05,0.0,0.03,0.21,0.34,0.21,0.13,0.02,0.01,0.02,0.01,0.0,0.14,0.16,0.34,0.26,0.07,0.02,0.06,0.02,0.08,0.0,0.16,0.52,0.04,0.1,0.49,0.1,0.01,0.06,0.12,0.0,0.16,0.02,0.03,0.03,0.07,0.12,0.12,0.27,0.13,0.0,0.1,0.16,0.01,0.09,0.0,0.03,0.06,0.1,0.67,0.0,0.04,0.0,0.02,0.01,0.03,0.15,0.29,0.4,0.1,0.0
762,762,0.04,0.0,0.05,0.07,0.13,0.4,0.17,0.04,0.09,0.02,0.04,0.0,0.03,0.21,0.52,0.06,0.1,0.03,0.01,0.03,0.02,0.0,0.19,0.09,0.02,0.3,0.34,0.04,0.11,0.04,0.13,0.0,0.37,0.1,0.1,0.12,0.03,0.38,0.11,0.1,0.19,0.0,0.08,0.06,0.05,0.01,0.03,0.47,0.14,0.15,0.08,0.0,0.07,0.06,0.01,0.1,0.0,0.04,0.08,0.11,0.64,0.0,0.02,0.0,0.03,0.01,0.03,0.23,0.37,0.21,0.12,0.0
763,763,0.04,0.0,0.17,0.1,0.36,0.21,0.05,0.01,0.05,0.02,0.03,0.0,0.02,0.12,0.08,0.49,0.16,0.06,0.0,0.26,0.29,0.0,0.17,0.17,0.01,0.03,0.06,0.05,0.13,0.06,0.18,0.0,0.19,0.14,0.1,0.15,0.03,0.15,0.25,0.14,0.2,0.0,0.1,0.06,0.06,0.0,0.02,0.68,0.07,0.1,0.06,0.0,0.06,0.02,0.03,0.11,0.05,0.09,0.23,0.22,0.21,0.0,0.06,0.0,0.03,0.03,0.11,0.22,0.4,0.09,0.12,0.0
764,764,0.05,0.0,0.11,0.15,0.15,0.12,0.26,0.06,0.11,0.02,0.05,0.0,0.02,0.13,0.08,0.23,0.33,0.14,0.01,0.21,0.12,0.0,0.13,0.3,0.13,0.03,0.08,0.03,0.35,0.11,0.14,0.0,0.08,0.12,0.09,0.09,0.03,0.14,0.32,0.14,0.17,0.0,0.09,0.05,0.06,0.0,0.01,0.7,0.07,0.1,0.05,0.0,0.06,0.02,0.04,0.11,0.06,0.07,0.31,0.23,0.11,0.0,0.08,0.01,0.04,0.03,0.36,0.18,0.14,0.09,0.16,0.0
765,765,0.02,0.0,0.08,0.12,0.11,0.13,0.32,0.05,0.18,0.03,0.05,0.0,0.04,0.31,0.21,0.11,0.11,0.14,0.01,0.0,0.02,0.0,0.13,0.39,0.38,0.02,0.05,0.02,0.06,0.01,0.07,0.0,0.24,0.47,0.04,0.09,0.43,0.08,0.01,0.09,0.16,0.0,0.12,0.03,0.07,0.01,0.02,0.56,0.11,0.13,0.05,0.0,0.07,0.05,0.03,0.14,0.01,0.06,0.15,0.43,0.15,0.0,0.03,0.0,0.04,0.0,0.06,0.15,0.14,0.46,0.15,0.0
766,766,0.01,0.0,0.09,0.12,0.1,0.12,0.25,0.04,0.27,0.03,0.04,0.0,0.04,0.48,0.17,0.05,0.11,0.09,0.02,0.0,0.02,0.0,0.17,0.55,0.1,0.04,0.09,0.01,0.28,0.16,0.19,0.0,0.09,0.12,0.08,0.07,0.11,0.09,0.03,0.12,0.23,0.0,0.09,0.07,0.26,0.0,0.02,0.53,0.22,0.1,0.04,0.0,0.06,0.03,0.01,0.11,0.01,0.04,0.09,0.22,0.5,0.0,0.01,0.0,0.04,0.0,0.06,0.13,0.14,0.47,0.15,0.0
767,767,0.0,0.0,0.08,0.12,0.08,0.11,0.25,0.04,0.32,0.04,0.03,0.0,0.07,0.32,0.17,0.08,0.19,0.1,0.02,0.02,0.03,0.0,0.23,0.35,0.02,0.15,0.18,0.0,0.43,0.16,0.16,0.0,0.03,0.09,0.08,0.07,0.35,0.06,0.01,0.08,0.16,0.0,0.09,0.06,0.19,0.03,0.02,0.05,0.22,0.47,0.08,0.0,0.05,0.08,0.01,0.1,0.01,0.04,0.07,0.1,0.64,0.0,0.02,0.0,0.04,0.0,0.07,0.13,0.13,0.47,0.15,0.0
768,768,0.0,0.0,0.05,0.04,0.07,0.08,0.52,0.03,0.21,0.02,0.03,0.0,0.12,0.27,0.13,0.25,0.09,0.09,0.03,0.0,0.02,0.0,0.16,0.51,0.2,0.02,0.06,0.04,0.1,0.03,0.07,0.0,0.37,0.22,0.08,0.08,0.03,0.04,0.01,0.05,0.13,0.0,0.57,0.07,0.11,0.03,0.03,0.09,0.15,0.49,0.08,0.0,0.06,0.07,0.01,0.09,0.01,0.04,0.08,0.1,0.64,0.0,0.02,0.0,0.04,0.0,0.07,0.13,0.14,0.47,0.15,0.0
769,769,0.03,0.0,0.03,0.07,0.18,0.09,0.51,0.02,0.06,0.03,0.03,0.0,0.07,0.27,0.2,0.24,0.07,0.08,0.03,0.01,0.01,0.0,0.39,0.21,0.28,0.02,0.06,0.03,0.05,0.0,0.05,0.0,0.53,0.17,0.08,0.08,0.02,0.03,0.01,0.05,0.12,0.0,0.63,0.1,0.05,0.01,0.02,0.12,0.43,0.25,0.07,0.0,0.05,0.06,0.0,0.07,0.0,0.03,0.08,0.09,0.68,0.0,0.04,0.0,0.03,0.0,0.07,0.12,0.12,0.43,0.21,0.0
770,770,0.04,0.0,0.11,0.16,0.37,0.16,0.1,0.01,0.04,0.03,0.02,0.0,0.11,0.39,0.21,0.05,0.11,0.09,0.02,0.03,0.02,0.0,0.32,0.28,0.05,0.19,0.08,0.09,0.07,0.02,0.11,0.0,0.39,0.11,0.15,0.06,0.02,0.02,0.01,0.03,0.07,0.0,0.7,0.11,0.03,0.02,0.04,0.03,0.26,0.3,0.18,0.0,0.08,0.09,0.04,0.2,0.03,0.1,0.16,0.35,0.06,0.0,0.05,0.0,0.01,0.01,0.05,0.21,0.16,0.41,0.14,0.0
771,771,0.02,0.0,0.07,0.09,0.12,0.14,0.25,0.04,0.27,0.04,0.04,0.0,0.06,0.31,0.32,0.05,0.1,0.08,0.02,0.02,0.02,0.0,0.48,0.26,0.04,0.09,0.08,0.02,0.05,0.02,0.11,0.0,0.21,0.4,0.11,0.07,0.03,0.02,0.01,0.04,0.06,0.0,0.74,0.07,0.03,0.09,0.02,0.03,0.13,0.26,0.32,0.0,0.07,0.07,0.12,0.35,0.05,0.1,0.15,0.17,0.01,0.0,0.05,0.0,0.04,0.01,0.03,0.21,0.4,0.12,0.19,0.0
772,772,0.03,0.0,0.04,0.08,0.3,0.16,0.23,0.03,0.12,0.03,0.03,0.0,0.07,0.39,0.26,0.05,0.09,0.08,0.02,0.01,0.02,0.0,0.53,0.25,0.03,0.05,0.1,0.05,0.07,0.04,0.5,0.0,0.07,0.15,0.07,0.06,0.03,0.08,0.01,0.05,0.12,0.0,0.5,0.12,0.1,0.01,0.22,0.02,0.24,0.2,0.18,0.0,0.06,0.08,0.27,0.26,0.04,0.08,0.11,0.19,0.01,0.0,0.03,0.0,0.02,0.0,0.04,0.25,0.15,0.19,0.35,0.0
773,773,0.02,0.0,0.04,0.05,0.07,0.07,0.57,0.03,0.15,0.03,0.03,0.0,0.08,0.24,0.24,0.24,0.07,0.07,0.08,0.02,0.02,0.0,0.3,0.07,0.21,0.21,0.1,0.02,0.04,0.01,0.05,0.0,0.03,0.77,0.02,0.06,0.03,0.21,0.04,0.05,0.11,0.0,0.43,0.05,0.09,0.02,0.06,0.05,0.18,0.36,0.21,0.0,0.05,0.08,0.02,0.08,0.01,0.04,0.08,0.15,0.58,0.0,0.03,0.0,0.03,0.0,0.05,0.12,0.1,0.52,0.18,0.0
774,774,0.0,0.0,0.03,0.04,0.12,0.12,0.54,0.03,0.13,0.0,0.04,0.0,0.0,0.13,0.49,0.33,0.01,0.0,0.01,0.0,0.0,0.0,0.06,0.26,0.64,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.07,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.98,0.0,0.0,0.01,0.03,0.06,0.39,0.22,0.17,0.0,0.04,0.08,0.0,0.02,0.0,0.01,0.01,0.03,0.91,0.0,0.01,0.0,0.01,0.0,0.01,0.05,0.04,0.86,0.04,0.0
775,775,0.0,0.0,0.03,0.05,0.14,0.16,0.51,0.03,0.08,0.0,0.04,0.0,0.0,0.13,0.5,0.32,0.01,0.0,0.01,0.0,0.0,0.0,0.06,0.42,0.47,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.16,0.84,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.92,0.02,0.0,0.01,0.01,0.01,0.21,0.22,0.47,0.0,0.01,0.06,0.01,0.06,0.0,0.01,0.04,0.08,0.78,0.0,0.03,0.0,0.01,0.0,0.04,0.07,0.12,0.68,0.08,0.0
776,776,0.0,0.0,0.03,0.03,0.11,0.12,0.6,0.02,0.09,0.01,0.04,0.0,0.02,0.16,0.4,0.33,0.02,0.02,0.01,0.0,0.0,0.0,0.06,0.51,0.35,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.12,0.87,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.94,0.01,0.0,0.01,0.05,0.1,0.24,0.2,0.27,0.0,0.05,0.09,0.01,0.05,0.0,0.02,0.04,0.07,0.8,0.0,0.02,0.0,0.01,0.0,0.04,0.07,0.1,0.72,0.06,0.0
777,777,0.02,0.0,0.03,0.05,0.07,0.08,0.65,0.03,0.07,0.02,0.05,0.0,0.05,0.21,0.26,0.33,0.04,0.05,0.01,0.0,0.0,0.0,0.07,0.31,0.57,0.01,0.03,0.0,0.01,0.0,0.01,0.0,0.01,0.96,0.0,0.01,0.01,0.01,0.0,0.02,0.03,0.0,0.83,0.09,0.01,0.01,0.05,0.24,0.27,0.2,0.08,0.0,0.06,0.08,0.01,0.05,0.0,0.02,0.05,0.06,0.78,0.0,0.03,0.0,0.01,0.0,0.03,0.04,0.05,0.8,0.08,0.0
778,778,0.0,0.0,0.03,0.04,0.11,0.08,0.61,0.04,0.08,0.02,0.04,0.0,0.04,0.23,0.3,0.32,0.03,0.03,0.01,0.0,0.0,0.0,0.08,0.52,0.31,0.02,0.05,0.01,0.01,0.0,0.01,0.0,0.01,0.94,0.0,0.01,0.01,0.02,0.0,0.02,0.05,0.0,0.85,0.03,0.02,0.01,0.03,0.45,0.13,0.15,0.09,0.0,0.07,0.07,0.0,0.09,0.0,0.03,0.08,0.1,0.66,0.0,0.03,0.0,0.02,0.0,0.07,0.12,0.12,0.55,0.12,0.0
779,779,0.02,0.0,0.03,0.02,0.08,0.19,0.55,0.06,0.05,0.02,0.04,0.0,0.06,0.23,0.29,0.26,0.05,0.05,0.0,0.01,0.01,0.0,0.07,0.1,0.69,0.02,0.1,0.0,0.02,0.01,0.03,0.0,0.16,0.73,0.02,0.03,0.01,0.22,0.03,0.06,0.35,0.0,0.22,0.04,0.07,0.0,0.02,0.71,0.05,0.1,0.05,0.0,0.06,0.02,0.0,0.08,0.01,0.04,0.17,0.13,0.48,0.0,0.09,0.0,0.03,0.0,0.07,0.12,0.12,0.52,0.14,0.0
780,780,0.03,0.0,0.1,0.19,0.46,0.1,0.05,0.01,0.06,0.02,0.04,0.0,0.05,0.29,0.37,0.07,0.1,0.06,0.01,0.34,0.17,0.0,0.12,0.09,0.01,0.04,0.22,0.03,0.08,0.05,0.13,0.0,0.1,0.45,0.07,0.08,0.11,0.54,0.06,0.07,0.09,0.0,0.05,0.05,0.03,0.0,0.02,0.58,0.09,0.12,0.08,0.0,0.07,0.04,0.03,0.08,0.04,0.08,0.25,0.19,0.23,0.0,0.09,0.0,0.03,0.0,0.08,0.14,0.15,0.22,0.38,0.0
781,781,0.02,0.0,0.37,0.32,0.14,0.06,0.04,0.0,0.04,0.02,0.03,0.0,0.03,0.31,0.4,0.07,0.08,0.07,0.0,0.42,0.33,0.0,0.09,0.11,0.0,0.03,0.02,0.0,0.12,0.16,0.21,0.0,0.1,0.2,0.15,0.07,0.26,0.13,0.16,0.11,0.16,0.0,0.09,0.07,0.03,0.0,0.02,0.65,0.12,0.09,0.05,0.0,0.06,0.02,0.04,0.11,0.05,0.08,0.18,0.21,0.25,0.0,0.08,0.0,0.04,0.0,0.08,0.14,0.14,0.26,0.35,0.0
782,782,0.04,0.0,0.03,0.12,0.53,0.18,0.05,0.01,0.05,0.03,0.03,0.0,0.04,0.38,0.29,0.06,0.07,0.1,0.0,0.32,0.1,0.0,0.19,0.24,0.02,0.06,0.06,0.0,0.11,0.15,0.18,0.0,0.26,0.15,0.11,0.05,0.02,0.64,0.07,0.06,0.09,0.0,0.05,0.03,0.03,0.01,0.03,0.04,0.3,0.2,0.32,0.0,0.04,0.07,0.02,0.09,0.03,0.06,0.2,0.34,0.19,0.0,0.06,0.0,0.02,0.01,0.04,0.24,0.34,0.17,0.18,0.0
783,783,0.04,0.0,0.01,0.09,0.53,0.2,0.05,0.02,0.05,0.02,0.0,0.0,0.06,0.38,0.39,0.04,0.03,0.08,0.01,0.01,0.01,0.0,0.22,0.61,0.05,0.06,0.04,0.01,0.03,0.01,0.06,0.0,0.74,0.07,0.03,0.04,0.02,0.55,0.13,0.05,0.14,0.0,0.05,0.03,0.03,0.02,0.0,0.0,0.02,0.21,0.67,0.0,0.03,0.05,0.01,0.06,0.01,0.01,0.16,0.22,0.49,0.0,0.05,0.0,0.02,0.0,0.03,0.22,0.25,0.17,0.3,0.0
784,784,0.04,0.0,0.02,0.08,0.48,0.22,0.08,0.02,0.06,0.02,0.01,0.0,0.06,0.36,0.41,0.04,0.03,0.07,0.0,0.0,0.01,0.0,0.56,0.34,0.03,0.02,0.04,0.01,0.03,0.01,0.02,0.0,0.84,0.03,0.03,0.03,0.01,0.02,0.69,0.04,0.16,0.0,0.02,0.02,0.05,0.02,0.01,0.01,0.08,0.23,0.58,0.0,0.03,0.05,0.01,0.08,0.02,0.03,0.22,0.27,0.31,0.0,0.06,0.0,0.02,0.0,0.02,0.29,0.25,0.14,0.28,0.0
785,785,0.02,0.0,0.1,0.31,0.33,0.16,0.05,0.0,0.03,0.04,0.03,0.0,0.06,0.39,0.33,0.04,0.05,0.07,0.01,0.0,0.01,0.0,0.42,0.47,0.02,0.03,0.05,0.03,0.04,0.01,0.05,0.0,0.68,0.05,0.06,0.07,0.01,0.02,0.73,0.04,0.13,0.0,0.02,0.01,0.04,0.02,0.37,0.03,0.13,0.18,0.14,0.0,0.05,0.07,0.01,0.07,0.01,0.04,0.24,0.33,0.24,0.0,0.05,0.0,0.02,0.0,0.03,0.21,0.29,0.15,0.29,0.0
786,786,0.03,0.0,0.08,0.14,0.21,0.3,0.16,0.03,0.06,0.02,0.02,0.0,0.06,0.35,0.32,0.07,0.07,0.09,0.01,0.01,0.02,0.0,0.16,0.6,0.11,0.02,0.08,0.02,0.03,0.01,0.04,0.0,0.7,0.1,0.05,0.05,0.01,0.05,0.58,0.08,0.16,0.0,0.07,0.02,0.04,0.02,0.01,0.02,0.11,0.23,0.5,0.0,0.04,0.06,0.0,0.06,0.0,0.02,0.12,0.18,0.56,0.0,0.05,0.0,0.03,0.0,0.05,0.15,0.23,0.25,0.28,0.0
787,787,0.03,0.0,0.05,0.08,0.17,0.41,0.14,0.03,0.09,0.02,0.02,0.0,0.04,0.39,0.34,0.04,0.06,0.08,0.0,0.37,0.09,0.0,0.13,0.32,0.01,0.03,0.05,0.1,0.08,0.03,0.07,0.0,0.45,0.14,0.07,0.07,0.14,0.14,0.03,0.12,0.31,0.0,0.07,0.07,0.12,0.02,0.44,0.03,0.06,0.18,0.2,0.0,0.03,0.06,0.01,0.07,0.01,0.05,0.13,0.14,0.54,0.0,0.06,0.01,0.04,0.01,0.06,0.18,0.29,0.21,0.2,0.0
788,788,0.11,0.0,0.06,0.14,0.1,0.08,0.39,0.04,0.09,0.05,0.07,0.0,0.04,0.32,0.25,0.06,0.1,0.09,0.0,0.59,0.11,0.0,0.12,0.11,0.01,0.03,0.01,0.03,0.17,0.05,0.1,0.0,0.31,0.13,0.13,0.09,0.08,0.13,0.04,0.08,0.22,0.0,0.27,0.08,0.09,0.01,0.67,0.02,0.01,0.14,0.06,0.0,0.03,0.06,0.03,0.08,0.05,0.08,0.4,0.26,0.01,0.0,0.09,0.0,0.6,0.07,0.09,0.07,0.11,0.02,0.05,0.0
789,789,0.03,0.0,0.06,0.03,0.13,0.24,0.45,0.0,0.06,0.03,0.1,0.0,0.05,0.37,0.16,0.06,0.11,0.13,0.0,0.53,0.11,0.0,0.13,0.12,0.02,0.05,0.05,0.08,0.12,0.03,0.15,0.0,0.38,0.09,0.09,0.07,0.11,0.18,0.22,0.07,0.14,0.0,0.05,0.05,0.18,0.01,0.69,0.03,0.01,0.12,0.05,0.0,0.03,0.06,0.02,0.13,0.05,0.1,0.2,0.23,0.2,0.0,0.06,0.0,0.61,0.07,0.13,0.06,0.05,0.02,0.06,0.0
790,790,0.12,0.0,0.05,0.07,0.08,0.06,0.48,0.1,0.05,0.01,0.52,0.0,0.06,0.15,0.12,0.03,0.03,0.08,0.01,0.07,0.01,0.0,0.15,0.57,0.06,0.06,0.06,0.05,0.14,0.05,0.41,0.0,0.09,0.08,0.08,0.09,0.16,0.43,0.06,0.06,0.12,0.0,0.08,0.05,0.03,0.02,0.39,0.02,0.02,0.18,0.06,0.0,0.1,0.21,0.0,0.08,0.01,0.03,0.12,0.09,0.61,0.0,0.06,0.0,0.61,0.08,0.11,0.06,0.07,0.01,0.06,0.0
791,791,0.01,0.0,0.07,0.18,0.08,0.06,0.15,0.22,0.23,0.02,0.49,0.0,0.07,0.14,0.11,0.05,0.03,0.1,0.0,0.02,0.01,0.0,0.11,0.12,0.08,0.57,0.08,0.09,0.13,0.05,0.18,0.0,0.14,0.11,0.14,0.15,0.07,0.08,0.01,0.05,0.09,0.0,0.58,0.07,0.04,0.01,0.07,0.01,0.02,0.3,0.05,0.0,0.06,0.47,0.0,0.06,0.01,0.03,0.12,0.09,0.62,0.0,0.06,0.0,0.18,0.03,0.11,0.2,0.23,0.14,0.1,0.0
792,792,0.02,0.0,0.06,0.16,0.07,0.07,0.33,0.04,0.25,0.04,0.09,0.0,0.06,0.2,0.16,0.25,0.06,0.14,0.01,0.02,0.02,0.0,0.36,0.11,0.04,0.34,0.09,0.13,0.12,0.05,0.2,0.0,0.12,0.13,0.1,0.14,0.03,0.02,0.0,0.04,0.05,0.0,0.75,0.07,0.04,0.03,0.1,0.06,0.11,0.38,0.13,0.0,0.08,0.11,0.01,0.07,0.02,0.04,0.08,0.11,0.61,0.0,0.05,0.0,0.03,0.01,0.04,0.22,0.35,0.21,0.13,0.0
793,793,0.01,0.0,0.03,0.06,0.08,0.06,0.27,0.33,0.16,0.04,0.08,0.0,0.07,0.19,0.14,0.27,0.1,0.12,0.01,0.01,0.02,0.0,0.11,0.29,0.11,0.38,0.07,0.05,0.11,0.05,0.21,0.0,0.11,0.22,0.12,0.13,0.03,0.01,0.0,0.04,0.05,0.0,0.76,0.07,0.04,0.03,0.03,0.04,0.2,0.38,0.14,0.0,0.1,0.09,0.01,0.07,0.01,0.04,0.1,0.1,0.61,0.0,0.06,0.0,0.04,0.0,0.04,0.18,0.28,0.32,0.14,0.0
794,794,0.01,0.0,0.02,0.06,0.09,0.05,0.24,0.42,0.11,0.02,0.13,0.0,0.03,0.12,0.08,0.45,0.09,0.07,0.02,0.02,0.03,0.0,0.54,0.09,0.08,0.05,0.18,0.05,0.09,0.04,0.14,0.0,0.11,0.13,0.3,0.13,0.02,0.02,0.01,0.04,0.22,0.0,0.54,0.08,0.08,0.02,0.17,0.03,0.16,0.23,0.1,0.0,0.06,0.22,0.02,0.09,0.02,0.06,0.22,0.34,0.19,0.0,0.06,0.0,0.03,0.0,0.06,0.15,0.15,0.34,0.27,0.0
795,795,0.02,0.0,0.03,0.07,0.1,0.07,0.15,0.43,0.12,0.03,0.07,0.0,0.04,0.18,0.12,0.32,0.15,0.09,0.01,0.1,0.08,0.0,0.13,0.11,0.06,0.26,0.24,0.17,0.09,0.03,0.12,0.0,0.11,0.17,0.09,0.22,0.03,0.02,0.01,0.05,0.26,0.0,0.5,0.08,0.05,0.0,0.01,0.02,0.58,0.13,0.15,0.0,0.03,0.08,0.01,0.07,0.02,0.04,0.2,0.14,0.44,0.0,0.07,0.0,0.03,0.0,0.04,0.17,0.13,0.46,0.16,0.0
